No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	4.7uF	C1	C0805	4.7uF	CGA0805X7R475K350MT	HRE(芯声)	C6119943	LCSC
2	1	100nF	C2	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
3	2	1uF	C4,C5	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
4	1	GT-USB-7010ASV	CN1	USB-C-SMD_G-SWITCH_GT-USB-7010ASV		GT-USB-7010ASV	G-Switch(品赞)	C2988369	LCSC
5	2	22Ω	R2,R3	R0402	22Ω	0402WGF220JTCE	UNI-ROYAL(厚声)	C25092	LCSC
6	2	5.1kΩ	R4,R5	R0402	5.1kΩ	0402WGF5101TCE	UNI-ROYAL(厚声)	C25905	LCSC
7	1	AP2112K-3.3TRG1	U3	SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL		AP2112K-3.3TRG1	DIODES(美台)	C51118	LCSC
8	1	CH340N	U5	SOP-8_L4.9-W3.9-P1.27-LS6.0-BL		CH340N	WCH(南京沁恒)	C2977777	LCSC
